OTU;abundance;amplicon;length;chimera;spread;identity;taxonomy;L001;L002;L003;L004;L004_2;L005;L006;L007;L008;L009;L010;L011;L012;L013;L014;L014_2;L015;L016;L017;L017_2;L018;L018_2;L019;L020;L021;L022;L022_2;L023;L024;L025;L026;L027;L028;L029;L029_2;L030;L031;L031_2;L032;L033;L033_2;L034;L035;L036;L037;L038;L038_2;L039;L040;L041;L042;L042_2;L043;L043_2;L044;L044_2;L045;L045_2;L046;L047;L047_2;L048;L049;L050;L051;L051_2;L052;L053;L054;L055;L055_2;L056;L057;L058;L059;L059_2;L060;L061;L062;L063;L064;L065;L066;L067;L067_2;L068;L068_2;L069;L070;L071;L072;L073;L073_2;L074;L075;L076;L077;L078;L079;L079_2;L080;L081;L082;L083;L084;L084_2;L085;L085_2;L086;L087;L088;L089;L090;L091;L092;L093;L094;L095;L096;L097;L098;L099;L100;L101;L102;L103;L103_2;L104;L105;L106;L107;L108;L109;L110;L111;L111_2;L112;L113;L114;L115;L116;L117;L118;L119;L120;L121;L122;L123;L123_2;L124;L125;L126;L127;L128;L129;L130;L131;L131_2;L132;L132_2;L133;L134;L135;L136;L137;L137_2;L138;L139;L140;L141;L141_2;L142;L143;L144;L144_2;L145;L146;L147;L148;L149;L149_2;L150;L151;L152;L153;L154;L155;L156;L157;L158;L159;L160;L160_2;L161;L162;L162_2;L163;L164;L165;L166;L167;L168;L168_2;L169;L170;L171;L172;L173;L173_2;L174;L175;L176;L177;L178;L179;L180;L181;L182;L183;L184;L185;L186;L187;L188;L189;L190;L191;L192;L193;L194;L195;L196;L197;L198;L199;L199_2;L200;L201;L202;L203;L204;L205;L206;L207;L208;L209;L210;L211;L212;L213;L214;L215;L216;L216_2;L217;L217_2;L218;L219;L220;L221;L222;L223;L224;L225;L226;L227;L228;L228_2;L229;L230;L231;L232;L233;L234;L234_2;L235;L236;L236_2;L237;L238;L239;L240;L241;L242;L243;L244;L245;L245_2;L246;L247;L248;L249;L250;L251;L252;L253;L254;L255;L255_2;L256;L256_2
1;456522;633774966943984a44acbe071d421745fb854193;267;N;150;86.9;Acidomelania panicicola|KF874620|SH1505336.08FU|refs|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Acidomelania|s__Acidomelania_panicicola;426;4;31;2;0;20064;21627;0;1;0;2;185;1;1;2667;1332;2;1;0;0;0;0;87;7407;324;1;0;2358;1025;160;0;0;0;0;0;858;0;0;0;0;0;0;810;31028;11;217;347;0;5400;103;0;0;0;0;0;0;1;0;0;259;140;59;0;0;0;0;0;453;10;0;0;0;1;0;0;92;0;0;0;0;3;3;349;62;209;0;0;0;814;0;3;1534;231;0;4;4;76;0;0;0;0;0;12;0;1;14;5;0;158;92;4003;1;2;1;1;2;1;10382;63928;1885;318;0;5;37666;0;0;0;0;0;11;23;0;1;2;0;0;0;0;32;1;0;53393;0;8;1;0;6;42;217;0;1523;4774;8621;4231;5;11992;17;0;0;0;0;0;8751;0;1153;1080;67;2;0;1;0;0;0;0;5689;0;0;127;325;0;3102;4468;486;3984;0;2;14;3;18;7766;0;0;0;0;6;0;0;81;0;18655;1;0;2;0;3189;0;18;0;0;0;7133;2;0;260;1;0;0;1;0;8;652;0;0;2;1;103;3973;1;322;2;2895;0;0;24962;0;0;6;2;29;1;7864;45118;0;0;0;0;6;0;0;10;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;434070;55fbf4f4844c56e3a143aa45d6c158b23a53f9c7;237;N;138;84.5;Mollisia sp|JN225931|SH1647310.08FU|reps|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Dermateaceae|g__Mollisia|s__Mollisia_sp;10476;4;1866;0;0;6838;265;0;0;2;0;209;0;1;6801;7125;1;0;1;0;0;0;173;1657;23;0;0;1996;20054;113;0;0;4;0;0;74;0;1;0;1;0;0;25088;1900;44;76;142;0;62736;141;0;0;0;0;0;0;1;0;0;365;107;93;0;14;0;0;0;0;450;0;0;2;0;0;0;40;0;0;0;0;0;6646;25134;0;0;1;0;0;821;1;4;2586;805;0;16;0;2120;3;0;0;0;1;1105;0;0;0;0;0;3;20;0;0;17;0;0;0;2;364;3245;60998;19;1;2;30195;0;0;0;0;0;0;37;0;1;0;0;0;32;0;2;0;0;2017;0;65;0;0;50;28;3283;0;2373;3139;51;137;2584;4679;55;28;34;1;0;0;6686;0;5767;3765;50;1;0;0;0;0;0;0;7972;0;0;524;37;0;24;96;973;185;0;0;24;0;2;10095;0;0;0;1;0;0;0;0;0;0;0;0;0;0;495;0;0;0;0;3;28342;0;0;0;0;28001;8;0;1;27;0;0;0;0;18;11710;3044;0;8;7;5795;0;0;242;0;0;0;1;9;0;351;17825;0;63;0;0;0;0;0;1;197;120;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0
3;388104;11ef98b77525905e68881af6faf338a2699c8d7a;241;N;214;89.2;Hymenoscyphus serotinus|JQ991732|SH1564462.08FU|reps|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiaceae|g__Hymenoscyphus|s__Hymenoscyphus_serotinus;0;371;2;0;0;0;0;0;636;0;0;1;47;14;1;0;6714;2209;0;0;501;996;0;0;0;17;115;0;0;0;352;3314;1;9;1902;1271;3;771;86;0;75;1466;51;0;24;0;0;31770;0;0;0;22;0;0;288;1058;1;159;0;0;0;201;580;3168;0;0;0;4147;0;0;228;0;1;404;0;4123;42;1;14201;0;52;11;545;1653;4600;1;0;1;48;0;264;151;98;1;60;2724;2572;15964;0;475;23034;1;9026;433;307;3381;10;8;12;1;2243;87;370;0;2187;16;0;592;0;11;11597;0;0;0;6;0;2739;179;830;186;10559;285;618;0;1;2;0;1;10893;216;13;3;1904;38;695;0;101;0;0;22;9;27;0;81;3;0;0;0;8493;2193;286;905;0;0;0;0;0;1705;18;1;1;1;0;0;0;5;25;1094;0;1;1;0;0;9;156;6977;13;25710;728;10;51;0;0;29;2;0;76;23932;0;828;2323;0;194;46;480;85;8535;5;4096;14334;0;43;951;41;84;2;28;0;889;1;3917;13;119;24389;17555;8;0;0;0;305;7;8791;1098;0;0;0;1;20;5;0;0;0;19;1074;0;0;3;1;0;1;0;0;0;0;0;3;1783;0;8;0;0;0;1163;3;5811;4400;12;0;6450;0;4;894;0;1795;2133;0;2;2;5344;166;16;0;109;24;0;2;0;0;190;685;23;974;0;0;3;3;98;0;1;0;0
4;378951;a376b3c1a20f9d6965ea9b86dbfb3177a35e83dd;255;N;106;74.6;Fungi sp|MF148536|SH1170000.08FU|reps_singleton|k__Fungi|p__unidentified|c__unidentified|o__unidentified|f__unidentified|g__unidentified|s__Fungi_sp;34201;0;10022;3;0;2;14;0;0;0;0;10180;0;0;840;970;2;0;0;0;0;0;1;660;1;0;0;41632;0;1;0;0;0;0;0;47;0;0;0;0;0;0;0;7732;2;0;0;0;7670;4;1;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;4642;0;0;0;0;0;0;1;0;0;0;0;1;0;5;0;1;0;0;0;532;1;1;1;0;0;0;15383;0;0;19;0;0;0;0;0;6;2782;2;0;0;322;0;0;0;1;0;4;0;0;0;0;0;0;19;0;2;0;0;4235;0;2;0;0;953;0;0;0;24;3692;4;11;34447;2916;4414;8385;2;0;1;0;7;2;9620;1509;17338;0;1;0;0;0;0;0;0;8;0;0;26795;1;0;43272;271;65250;1;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3031;1;0;0;1;71;0;0;0;4;1;0;0;0;0;211;1;1;10;0;11904;3;1;386;0;0;1900;0;0;0;0;512;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
6;344942;157cdef282c45842614b92174aa4633f6144c7a7;265;N;111;84.9;Pseudoplectania ericae|JX669822|SH1649921.08FU|reps|k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Sarcosomataceae|g__Pseudoplectania|s__Pseudoplectania_ericae;2;0;0;0;0;4;1824;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;3;1;0;0;3;0;0;0;0;0;0;0;413;1;0;0;1;0;0;504;13;13;2843;5830;2;17697;21747;0;0;1;0;0;0;0;0;0;0;0;61;0;1385;0;0;0;0;1;0;0;0;0;1;0;0;1;138;31;0;0;0;6;0;0;0;0;0;1;0;0;72;0;1;3;0;23177;0;0;0;834;1;1;1;375;3263;3;0;59099;12;11;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;15415;0;0;0;1;2;318;0;0;2;0;0;0;56;0;0;4;0;0;0;6;197;49794;12106;8;13460;411;549;31;0;3;0;0;0;23;0;0;1;0;0;0;0;0;1;2;0;0;0;17;0;0;8;23027;0;0;1;5204;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;16;10825;0;1;0;4;0;1;21519;0;0;1;40986;0;0;2;0;2;1;3;0;11344;0;10;0;0;0;0;0;75;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;43;0;1;1;0;0;0;0
5;341455;e74d3c5cf4238eee5673623071f4fb2f98de2eb5;239;N;183;85;Hyaloscyphaceae sp|JX317129|SH1522928.08FU|refs|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__unidentified|s__Hyaloscyphaceae_sp;51;175;213;1;0;516;15401;1;0;0;0;84;8;0;0;0;0;0;0;0;0;0;292;6948;47483;0;2;149;168;912;64;124;0;2;70;2258;0;0;367;0;0;0;4;1594;1264;3;0;1;91;14129;0;63;0;1;8;9;1;79;1;0;0;296;1650;60;0;0;0;0;3695;0;362;0;20208;1995;2;0;0;2;5;2;1589;159;125;0;0;0;0;0;0;22110;0;3599;1393;0;5;0;17711;2;2;0;0;0;0;129;0;1;3;0;5921;3210;3;8;8364;1;1166;303;0;1;1;1;0;1;1;0;116;0;10;6640;0;8;3120;0;0;2;274;694;1361;119;0;1786;7;1715;0;134;0;1;25127;0;496;1;367;368;24;1985;3975;650;580;1053;4770;1151;6963;98;0;0;9;8;108;140;3261;0;1;1087;0;0;15548;13671;8;1;9612;0;765;1;8289;556;122;0;240;0;0;0;446;1;5;1;0;0;0;1;0;0;0;0;3;1747;90;0;0;0;0;0;1;0;0;1;54;910;1090;0;213;9155;0;1;0;0;221;0;21;526;318;0;1218;0;1;2;0;0;2057;5350;1;0;0;1;3297;0;2;0;0;0;0;1;0;0;0;0;0;0;351;164;0;48;0;1;7;0;971;0;0;0;5461;0;0;0;0;0;0;36;0;23;0;93;1;0;2;8;5;1;0;0;1056;2386;0;0;0;0;0;1;459;0;1;0;0
8;305448;7f049b5bcc83fb5a9250dcf11aa049647ebfe961;241;N;115;70.7;Fungi sp|UDB0747761|SH2730878.08FU|reps|k__Fungi|p__unidentified|c__unidentified|o__unidentified|f__unidentified|g__unidentified|s__Fungi_sp;2816;0;752;1;0;5489;16287;0;0;0;0;264;0;1;1822;451;0;0;2;0;0;0;12;690;6;0;0;1388;5734;627;0;0;0;0;0;28;0;0;0;0;0;1;40656;9424;3;11;22;0;5557;291;0;0;0;0;0;0;10;0;0;0;31;6329;0;1;0;0;0;0;190;0;0;0;0;0;0;292;0;0;0;0;0;582;10742;0;0;0;0;0;1600;0;0;157;52;0;0;1;230;0;0;0;0;0;12;0;0;0;0;0;15;322;0;2;11;0;0;0;0;725;4993;4245;33;1;0;46117;14;0;0;0;0;0;2;0;3;0;0;0;797;0;18;0;1;25758;0;0;0;0;104;3;100;0;2300;13097;45;183;651;5401;143;258;2;0;0;0;3646;0;6786;3886;42;1;1;0;0;0;0;0;1467;0;0;212;952;0;153;213;1179;654;0;0;0;0;5;18281;0;0;0;0;1;0;0;0;0;0;0;0;0;0;532;0;0;0;0;3;18564;0;0;0;0;2164;0;0;0;6;0;0;0;0;2;6171;681;0;13;0;3719;1;0;4101;0;0;57;0;3;0;2139;11892;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;296130;181f8f8094e452c5bf7749da15c146c0b8069129;281;N;86;68.5;Auriculariales sp|KT224901|SH1560505.08FU|reps|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Auriculariales|f__unidentified|g__unidentified|s__Auriculariales_sp;0;0;5;0;3;4;0;33410;4139;4687;3178;0;0;37553;0;0;620;0;0;4496;0;0;1;0;0;0;0;0;0;0;1;0;324;1;0;0;0;1;0;9;674;0;1;0;2004;0;0;1;0;0;0;0;267;0;0;0;0;0;0;0;0;0;0;0;0;0;842;6;0;0;0;4565;0;0;0;3;11546;0;13403;1271;2;0;0;443;1984;0;154;575;0;0;1717;0;0;0;0;0;0;0;0;6873;1;103;0;0;0;0;3;0;0;0;1044;0;4;25050;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1443;0;0;0;0;1;0;0;10613;0;2951;0;20;313;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;1;55105;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;15545;3267;0;0;0;0;0;0;7;9;0;0;295;0;0;0;1;0;0;0;0;0;2;1;0;20076;0;0;0;0;6263;0;0;0;0;112;3349;0;0;0;0;0;1817;0;1;1;0;3510;10419;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
10;250717;41e297169f53e176e47a2e668f387505262a0ecd;240;N;134;89.7;Helotiales sp|AY969617|SH1523037.08FU|reps|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__unidentified|g__unidentified|s__Helotiales_sp;0;51;0;0;0;0;0;0;0;0;0;0;12507;1;0;0;0;2;0;0;2;0;0;0;0;3;53;0;0;0;881;0;0;7;343;0;7;5082;0;0;0;0;0;0;18;0;0;0;0;0;0;52;0;2;0;1;0;6;0;0;0;0;15432;0;1;1;0;0;0;1;0;0;0;0;0;0;0;440;0;0;9935;0;0;0;0;0;0;0;1;0;0;3;0;1;2;0;0;7;0;1;0;0;0;0;0;1;44;426;1;0;0;6786;0;1;7;1;1;0;0;0;0;5217;0;0;0;0;22;0;0;2;0;0;1;0;0;2;0;191;0;1;0;1;7;3;4;0;5;0;0;0;1;0;0;0;0;0;1;0;0;0;1;88;0;0;2;0;0;0;0;0;6632;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;527;2336;11335;0;0;0;0;0;0;0;0;108;47;0;497;7;1;0;0;0;2;0;0;1820;0;0;0;0;0;0;12526;0;1;12824;0;2;11392;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;156;2;20340;439;38;3;3383;2405;988;70;205;2246;1982;163;228;2275;4873;3899;2672;0;2008;2214;986;1;10132;32;1586;9342;2782;67;4354;9014;7945;3961;739;12745;787;1444;101;651;140;5246;1766;3950;1;4082;2;549
11;238807;64f0cfc5b0475476f395ebea68af88f1390331d8;238;N;182;89.5;Leptodontidium sp|LC374636|SH1522923.08FU|reps|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiales_fam_Incertae_sedis|g__Leptodontidium|s__Leptodontidium_sp;0;4303;1;0;0;0;3174;0;0;1;14;0;513;0;0;0;10;0;0;0;0;0;0;0;27;28;234;0;15;0;166;0;0;3;124;877;0;47;810;0;0;0;0;0;33;0;0;0;0;13;0;112;0;0;85;192;54;14;0;1;1;54825;402;10963;0;0;0;2084;1;0;2552;0;73;173;1;9;0;982;13;0;686;1;1;0;0;0;0;0;4;566;1;3503;1742;61;6;7;1;5;0;0;106;19;0;165;5;28;2;0;5663;28;3;3284;6476;0;1128;0;0;0;0;0;4;217;0;19;15675;1;39;5260;0;2;3357;2;2;1;5007;11452;9;253;154;0;0;0;0;594;0;0;3;0;0;39;1;482;12;46;0;3452;1;2;6041;1886;588;314;0;0;0;1;0;48;11;0;51;1653;0;0;0;0;3;0;1;0;0;16481;910;0;901;0;13393;1;0;3;5624;194;894;3;0;0;0;610;0;0;2;0;6422;11;0;7;17;0;145;0;0;0;0;0;81;0;289;0;31;0;0;26;0;0;10855;700;0;4;5248;0;27;0;0;1;0;0;21;17;0;0;0;0;0;5864;0;1;1;0;0;0;0;0;0;0;0;0;655;771;76;0;30;25;21;35;136;5;0;0;7;0;46;17;39;418;498;0;0;0;0;0;0;0;22;260;0;18;0;0;0;3586;0;12;72;0;0;148;6;0;0;0;15
